(('Saucerottia', 'MX-MIC'), (1860, 0.016203561736139436))
(('Basileuterus', 'MX-TAM'), (1939, 0.01620010402492569))
(('Aythya', 'CA-AB'), (157958, 0.016176900449164325))
(('Pheugopedius', 'MX-NAY'), (9182, 0.016175583208508624))
(('Mimus', 'US-TN'), (199634, 0.01615047018571651))
(('Leptotila', 'MX-YUC'), (8830, 0.016134598837327152))
(('Mimus', 'US-SC'), (191263, 0.01606300188777318))
(('Sporophila', 'MX-CHP'), (8089, 0.01605829861657251))
(('Baeolophus', 'US-TN'), (241408, 0.016025276259510467))
(('Larus', 'US-NJ'), (759154, 0.016017842846907028))
(('Pyrocephalus', 'US-AZ'), (194003, 0.016016169268189287))
(('Ptiliogonys', 'MX-MOR'), (1607, 0.015954444020971677))
(('Cynanthus', 'MX-GUA'), (3074, 0.015920265873652622))
(('Melanotis', 'MX-JAL'), (6917, 0.0158765742511483))
(('Crotophaga', 'MX-MOR'), (2149, 0.01582349001502895))
(('Sturnella', 'US-NE'), (56501, 0.015814553426066063))
(('Auriparus', 'US-NV'), (29373, 0.01576740126201989))
(('Cardinalis', 'US-PA'), (947363, 0.015727025491651808))
(('Alauda', 'US-HI'), (11496, 0.015601147366399849))
(('Aphelocoma', 'US-NM'), (79822, 0.015553700357842103))
(('Ptiliogonys', 'MX-OAX'), (6948, 0.015505049055262026))
(('Haemorhous', 'US-NM'), (259545, 0.015473090975013397))
(('Pitangus', 'MX-TAB'), (3613, 0.015459329250216107))
(('Cynanthus', 'MX-SON'), (6122, 0.01541842212388588))
(('Cardinalis', 'US-VA'), (728016, 0.015407915857937117))
(('Melanerpes', 'US-GA'), (377667, 0.0154031414172509))
(('Psilorhinus', 'MX-TAM'), (1733, 0.015394340188480803))
(('Crotophaga', 'MX-TAB'), (1815, 0.015363055032079674))
(('Clangula', 'CA-NU'), (5788, 0.015351581277045018))
(('Leucolia', 'MX-PUE'), (1056, 0.015311138614021886))
(('Melanerpes', 'US-FL'), (933161, 0.01529592683360965))
(('Pyrocephalus', 'MX-MEX'), (5171, 0.015275554422345775))
(('Gavia', 'US-ME'), (117292, 0.015231418331536092))
(('Loxia', 'CA-YT'), (10019, 0.015221416396758924))
(('Saltator', 'MX-COL'), (1930, 0.015198016519820216))
(('Basileuterus', 'MX-VER'), (12078, 0.015149080537403431))
(('Sialia', 'US-VA'), (344496, 0.015148677924413666))
(('Thryophilus', 'MX-NAY'), (8364, 0.01510823895590754))
(('Ardea', 'US-TX'), (1167667, 0.015094979886008535))
(('Mareca', 'CA-BC'), (292687, 0.015044704785444394))
(('Amazilia', 'MX-COL'), (2451, 0.015036981565609267))
(('Calocitta', 'MX-NAY'), (8320, 0.015018509855576715))
(('Campylorhynchus', 'MX-OAX'), (9469, 0.014960212801000839))
(('Ortalis', 'MX-NAY'), (9383, 0.014928265050543786))
(('Pyrocephalus', 'MX-DIF'), (8064, 0.014918152275544097))
(('Perisoreus', 'CA-NT'), (3748, 0.014855095143204305))
(('Pipilo', 'US-NM'), (155747, 0.014850354618841904))
(('Melanotis', 'MX-MOR'), (1484, 0.014762546467744178))
(('Peucaea', 'MX-MOR'), (2890, 0.01475591630774626))
(('Xema', 'CA-NU'), (1496, 0.01471346443028524))
(('Psarocolius', 'MX-VER'), (11310, 0.01471006959486471))
(('Dumetella', 'US-PA'), (456717, 0.014685198513971593))
(('Crotophaga', 'MX-VER'), (12047, 0.014657838342355874))
(('Setophaga', 'US-ME'), (594022, 0.014628477162757163))
(('Trogon', 'MX-OAX'), (7103, 0.014614479602581772))
(('Arremonops', 'MX-NLE'), (3121, 0.01461047942888195))
(('Thryothorus', 'US-AL'), (127076, 0.014595915530534407))
(('Euphagus', 'US-CA'), (106642, 0.014594351058714976))
(('Amazona', 'MX-ROO'), (7144, 0.014591714721070239))
(('Saucerottia', 'MX-MEX'), (2102, 0.014587652231134948))
(('Basilinna', 'MX-DIF'), (4721, 0.014587389619668994))
(('Patagioenas', 'MX-CHP'), (9490, 0.014580124856380307))
(('Phaeoptila', 'MX-MOR'), (1285, 0.014570823477777939))
(('Amazilia', 'MX-VER'), (12416, 0.014542215073434676))
(('Amazilia', 'MX-NAY'), (9111, 0.014518810645487077))
(('Euphonia', 'MX-TAM'), (1644, 0.01450854653780064))
(('Junco', 'CA-BC'), (418988, 0.014498567981350605))
(('Sporophila', 'MX-JAL'), (6664, 0.01449613557874564))
(('Thalasseus', 'US-FL'), (312316, 0.014494784503331718))
(('Sayornis', 'US-NM'), (155963, 0.014475250708674723))
(('Euphonia', 'MX-CAM'), (2075, 0.014468048764782398))
(('Cynanthus', 'MX-MEX'), (3553, 0.014465228232800316))
(('Cynanthus', 'US-AZ'), (169574, 0.014456335730713322))
(('Saltator', 'MX-CAM'), (2293, 0.014423821984675778))
(('Cygnus', 'US-MI'), (239333, 0.014401460840694021))
(('Mycteria', 'US-FL'), (284639, 0.01440066864096503))
(('Melozone', 'US-NM'), (66915, 0.014396858893514013))
(('Crotophaga', 'MX-JAL'), (6841, 0.014377973074472652))
(('Melanotis', 'MX-MIC'), (1515, 0.014376805739236167))
(('Fregata', 'US-HI'), (12177, 0.014361272828938431))
(('Momotus', 'MX-CHP'), (6924, 0.01435689386317015))
(('Saltator', 'MX-TAB'), (1544, 0.014336042852846217))
(('Cardinalis', 'US-GA'), (477796, 0.014268855558297832))
(('Cynanthus', 'MX-JAL'), (7981, 0.014260919630125825))
(('Basilinna', 'MX-MOR'), (1447, 0.014257529577689646))
(('Quiscalus', 'US-TX'), (1017181, 0.014206514222806037))
(('Calcarius', 'CA-YT'), (6953, 0.014184989058670302))
(('Mimus', 'US-NC'), (281345, 0.014175653294184097))
(('Leucolia', 'MX-QUE'), (883, 0.01415750306560604))
(('Tityra', 'MX-NAY'), (7929, 0.014132165489626182))
(('Thryomanes', 'US-OR'), (183400, 0.014105650461260685))
(('Baeolophus', 'US-MA'), (497003, 0.014070688865574233))
(('Pyrocephalus', 'MX-MIC'), (4332, 0.014067922251759055))
(('Colaptes', 'US-OR'), (427331, 0.014066874728823758))
(('Passerella', 'CA-NL'), (16977, 0.01404165768645149))
(('Leptotila', 'MX-CHP'), (7667, 0.014035095973864023))
(('Calocitta', 'MX-SIN'), (2065, 0.01403424114012485))
(('Megarynchus', 'MX-VER'), (10933, 0.014028408222515535))
(('Mareca', 'US-CO'), (261227, 0.014020978623169027))
(('Thryomanes', 'US-AZ'), (205279, 0.014015382845549762))
(('Cynanthus', 'MX-MIC'), (3017, 0.014002790448434185))
(('Momotus', 'MX-MOR'), (1432, 0.013993037215492308))
(('Haliaeetus', 'US-WA'), (338592, 0.013992499912783937))
(('Ramphastos', 'MX-CAM'), (1741, 0.013952790247474303))
(('Mareca', 'CA-AB'), (115768, 0.013917799375010833))
(('Sporophila', 'MX-NAY'), (8057, 0.013854890458257718))
(('Melozone', 'MX-OAX'), (11946, 0.013810892406156145))
(('Basilinna', 'MX-BCS'), (4183, 0.013738168804831962))
(('Patagioenas', 'MX-ROO'), (8702, 0.013707865636681277))
(('Dryobates', 'US-MN'), (441912, 0.013666143648407588))
(('Cathartes', 'US-FL'), (747759, 0.013657510933385807))
(('Cepphus', 'CA-NL'), (11156, 0.013649321107360753))
(('Acanthis', 'CA-MB'), (26735, 0.013628128599242905))
(('Fulica', 'US-NV'), (53207, 0.013622903168018034))
(('Baeolophus', 'US-SC'), (212440, 0.013620139848877824))
(('Ptiliogonys', 'MX-MEX'), (1833, 0.013599743556617928))
(('Phaeoptila', 'MX-OAX'), (5903, 0.013597364681262472))
(('Podiceps', 'CA-AB'), (71943, 0.013570485138165044))
(('Ortalis', 'MX-NLE'), (3238, 0.013534567415811492))
(('Junco', 'US-NM'), (190898, 0.013440062011146276))
(('Columbina', 'MX-BCS'), (10465, 0.013430611455224464))
(('Dryobates', 'US-WI'), (698204, 0.013423012866487343))
(('Eupsittula', 'MX-NAY'), (7619, 0.0134149881371841))
(('Thraupis', 'MX-TAB'), (1217, 0.013363600847643969))
(('Aphelocoma', 'US-AZ'), (192911, 0.013355779452988017))
(('Dryobates', 'CA-QC'), (934491, 0.0133374194350198))
(('Larus', 'CA-NL'), (141972, 0.01330535068622653))
(('Haemorhous', 'US-CO'), (467098, 0.01328594779920508))
(('Lagopus', 'CA-NT'), (1805, 0.013279715328060606))
(('Junco', 'US-CO'), (375157, 0.013259842816922966))
(('Melanerpes', 'US-MO'), (275131, 0.013254728504801397))
(('Columbina', 'MX-SON'), (9983, 0.013253823733808054))
(('Colaptes', 'US-WA'), (488880, 0.01323727554799293))
(('Trogon', 'MX-JAL'), (6278, 0.013228459528458147))
(('Sialia', 'US-SC'), (153302, 0.013227983414750469))
(('Piaya', 'MX-VER'), (10382, 0.013222124955268682))
(('Branta', 'US-NY'), (1054530, 0.013220795129393342))
(('Passer', 'US-IL'), (434400, 0.013209249847717982))
(('Thraupis', 'MX-CAM'), (1876, 0.013203761211115944))
(('Baeolophus', 'US-CT'), (240563, 0.013179566410761035))
(('Eupsittula', 'MX-YUC'), (6512, 0.013176696600262881))
(('Cardinalis', 'US-NC'), (535006, 0.013156143876628284))
(('Euodice', 'US-HI'), (9657, 0.013149943187674238))
(('Eudocimus', 'US-LA'), (63812, 0.013121518786786949))
(('Phoenicopterus', 'MX-YUC'), (6156, 0.013085073047274192))
(('Myiozetetes', 'MX-GRO'), (1527, 0.013079752897540773))
(('Aethia', 'US-AK'), (31286, 0.01306389443056094))
(('Brachyramphus', 'US-AK'), (32064, 0.013052511531066414))
(('Baeolophus', 'US-MD'), (424167, 0.013031143939357854))
(('Tyrannus', 'US-OK'), (70245, 0.012986831906569645))
(('Auriparus', 'MX-BCS'), (7685, 0.012953388873760243))
