(('Melanerpes', 'US-AZ'), (623372, 0.016951567639806514))
(('Spatula', 'CA-AB'), (133967, 0.016921578986453578))
(('Campylorhynchus', 'US-AZ'), (200611, 0.016875724579949482))
(('Corvus', 'CA-BC'), (954472, 0.016875461643038717))
(('Myiozetetes', 'MX-OAX'), (8385, 0.01686707146001159))
(('Saltator', 'MX-NAY'), (9845, 0.016854828808409328))
(('Coragyps', 'US-TX'), (548178, 0.01684995828597045))
(('Thryothorus', 'US-PA'), (557667, 0.0168422953217951))
(('Sturnella', 'US-CO'), (242270, 0.01681491216552668))
(('Pyrocephalus', 'MX-OAX'), (11254, 0.01678301373339511))
(('Haemorhous', 'US-AZ'), (613700, 0.016719478380783907))
(('Toxostoma', 'US-GA'), (179634, 0.01668345138967985))
(('Acanthis', 'CA-YT'), (12355, 0.016679596974690767))
(('Sporophila', 'MX-VER'), (13355, 0.01663932171477921))
(('Psilorhinus', 'MX-ROO'), (7859, 0.01662805070528053))
(('Mareca', 'US-WA'), (369522, 0.01660565475849403))
(('Larus', 'US-NJ'), (759154, 0.01658633255391162))
(('Junco', 'US-OR'), (448962, 0.01657364246749035))
(('Melanoptila', 'MX-ROO'), (7434, 0.016528259449325833))
(('Mimus', 'US-LA'), (164645, 0.016522587713349027))
(('Ixoreus', 'US-AK'), (44517, 0.016497523930185998))
(('Somateria', 'CA-NB'), (19072, 0.0164733599223819))
(('Sialia', 'US-TN'), (181103, 0.016471179808878248))
(('Leucolia', 'MX-MIC'), (1837, 0.01644779523073002))
(('Jacana', 'MX-TAB'), (1381, 0.016425441432372994))
(('Mimus', 'US-TN'), (199634, 0.016377396451257475))
(('Aythya', 'CA-AB'), (157958, 0.016371681333976162))
(('Arenaria', 'US-HI'), (19248, 0.016363450487926458))
(('Cardinalis', 'US-PA'), (947363, 0.016359976077699633))
(('Baeolophus', 'US-TN'), (241408, 0.016291782337167833))
(('Mimus', 'US-SC'), (191263, 0.016284869027924618))
(('Numenius', 'MX-BCN'), (9326, 0.01626521579301763))
(('Phasianus', 'US-ND'), (24049, 0.016263463213769973))
(('Patagioenas', 'MX-VER'), (15580, 0.016245240937437795))
(('Thryomanes', 'MX-DIF'), (16696, 0.016229301267829153))
(('Pyrocephalus', 'MX-JAL'), (10689, 0.016227787884658437))
(('Saucerottia', 'MX-MIC'), (1860, 0.016205966937588738))
(('Basileuterus', 'MX-TAM'), (1939, 0.016202936454825206))
(('Pheugopedius', 'MX-NAY'), (9182, 0.016178597434958728))
(('Leptotila', 'MX-YUC'), (8830, 0.016142209089639696))
(('Sporophila', 'MX-CHP'), (8089, 0.01606244470696826))
(('Pyrocephalus', 'US-AZ'), (194003, 0.016041630413460482))
(('Cardinalis', 'US-VA'), (728016, 0.015967021883985036))
(('Ptiliogonys', 'MX-MOR'), (1607, 0.015956112576305966))
(('Cynanthus', 'MX-GUA'), (3074, 0.015925611610792527))
(('Sturnella', 'US-NE'), (56501, 0.015902268514584737))
(('Melanotis', 'MX-JAL'), (6917, 0.015878465106847508))
(('Melanerpes', 'US-FL'), (933161, 0.015834647388883023))
(('Crotophaga', 'MX-MOR'), (2149, 0.01582734510591594))
(('Auriparus', 'US-NV'), (29373, 0.015795647821013347))
