Bird,State,Count,Score
Agelaius,CA-BC,270377,-0.002928
Passer,CA-BC,174915,-0.003188
Coragyps,CA-BC,9,-0.003600
Tyrannus,CA-BC,44088,-0.003929
Myiarchus,CA-BC,362,-0.003949
Toxostoma,CA-BC,62,-0.004298
Passerina,CA-BC,21547,-0.004367
Archilochus,CA-BC,8084,-0.004431
Polioptila,CA-BC,163,-0.004796
Vireo,CA-BC,166234,-0.004808
Icterus,CA-BC,24127,-0.004810
Sialia,CA-BC,40102,-0.005479
Buteo,CA-BC,186644,-0.005699
Egretta,CA-BC,85,-0.005910
Cathartes,CA-BC,120644,-0.006008
Dumetella,CA-BC,28324,-0.006514
Spizella,CA-BC,90674,-0.006591
Sayornis,CA-BC,18570,-0.007261
Mimus,CA-BC,1313,-0.008907
Dryobates,CA-BC,252900,-0.009529
Cyanocitta,CA-BC,197923,-0.011271
Quiscalus,CA-BC,2095,-0.014373
Setophaga,CA-BC,411091,-0.015531
Melanerpes,CA-BC,6992,-0.015748
Zenaida,CA-BC,43940,-0.021653
Cardinalis,CA-BC,93,-0.022734
Corvus,CA-MB,135701,0.016269
Branta,CA-MB,82013,0.011700
Pica,CA-MB,33648,0.009744
Spizella,CA-MB,54216,0.008107
Zonotrichia,CA-MB,57788,0.007771
Acanthis,CA-MB,24400,0.007729
Aythya,CA-MB,43824,0.007506
Anas,CA-MB,86737,0.007082
Spatula,CA-MB,35936,0.006557
Tringa,CA-MB,36305,0.006392
Poecile,CA-MB,88278,0.006368
Sitta,CA-MB,65532,0.006003
Passer,CA-MB,50430,0.005689
Leiothlypis,CA-MB,29309,0.005669
Catharus,CA-MB,31925,0.005410
Dryobates,CA-MB,78492,0.005403
Passerculus,CA-MB,23731,0.005212
Falco,CA-MB,32979,0.005042
Sturnella,CA-MB,23792,0.004680
Gallinago,CA-MB,16542,0.004562
Empidonax,CA-MB,25567,0.004204
Circus,CA-MB,19962,0.003994
Euphagus,CA-MB,16119,0.003932
Pelecanus,CA-MB,18365,0.003522
Limosa,CA-MB,11205,0.003486
Passerella,CA-MB,13494,0.003402
Leucophaeus,CA-MB,17945,0.003401
Xanthocephalus,CA-MB,11378,0.003330
Haliaeetus,CA-MB,26185,0.003218
Calidris,CA-MB,32185,0.003190
Antigone,CA-MB,13553,0.002905
Cistothorus,CA-MB,13253,0.002897
Sterna,CA-MB,15035,0.002876
Perisoreus,CA-MB,8961,0.002815
Pinicola,CA-MB,8787,0.002779
Plectrophenax,CA-MB,8909,0.002666
Junco,CA-MB,39515,0.002589
Phalaropus,CA-MB,9255,0.002554
Chroicocephalus,CA-MB,10225,0.002402
Setophaga,CA-MB,109304,0.002238
Podiceps,CA-MB,12720,0.002171
Anser,CA-MB,10958,0.002139
Charadrius,CA-MB,32603,0.001932
Calcarius,CA-MB,6185,0.001861
Porzana,CA-MB,7310,0.001840
Spizelloides,CA-MB,10722,0.001817
Chlidonias,CA-MB,6229,0.001810
Hirundo,CA-MB,26137,0.001759
Sphyrapicus,CA-MB,12917,0.001757
Tympanuchus,CA-MB,4885,0.001656
Bonasa,CA-MB,6332,0.001642
Larus,CA-MB,67215,0.001635
Pooecetes,CA-MB,6877,0.001630
Eremophila,CA-MB,9116,0.001612
Bucephala,CA-MB,23730,0.001554
Tyrannus,CA-MB,21280,0.001428
Parkesia,CA-MB,8199,0.001413
Ammospiza,CA-MB,4866,0.001357
Bubo,CA-MB,7840,0.001301
Botaurus,CA-MB,4592,0.001213
Dolichonyx,CA-MB,5721,0.001205
Columba,CA-MB,22981,0.001180
Riparia,CA-MB,5829,0.001177
Mareca,CA-MB,20137,0.001151
Perdix,CA-MB,3358,0.001121
Coccothraustes,CA-MB,5083,0.001082
Aechmophorus,CA-MB,5232,0.001076
Gavia,CA-MB,12021,0.001023
Recurvirostra,CA-MB,4888,0.001005
Lagopus,CA-MB,2938,0.000986
Stercorarius,CA-MB,3551,0.000983
Pluvialis,CA-MB,7064,0.000982
Limnodromus,CA-MB,6244,0.000966
Progne,CA-MB,7956,0.000962
Bartramia,CA-MB,3137,0.000934
Actitis,CA-MB,9854,0.000798
Mniotilta,CA-MB,9738,0.000764
Numenius,CA-MB,3819,0.000753
Picoides,CA-MB,2504,0.000752
Loxia,CA-MB,4236,0.000748
Anthus,CA-MB,4569,0.000714
Seiurus,CA-MB,8521,0.000662
Asio,CA-MB,2464,0.000621
Lophodytes,CA-MB,9221,0.000547
Clangula,CA-MB,3697,0.000505
Agelaius,CA-MB,49104,0.000489
Bombycilla,CA-MB,18375,0.000457
Oporornis,CA-MB,1345,0.000434
Corthylio,CA-MB,16070,0.000431
Canachites,CA-MB,1277,0.000404
Icteridae,CA-MB,1703,0.000334
Aix,CA-MB,12948,0.000330
Cygnus,CA-MB,9049,0.000330
Petrochelidon,CA-MB,6088,0.000317
Aegolius,CA-MB,1266,0.000315
Somateria,CA-MB,3173,0.000271
Coturnicops,CA-MB,630,0.000207
Hydrocoloeus,CA-MB,664,0.000192
Scolopax,CA-MB,1587,0.000187
Rhodostethia,CA-MB,502,0.000175
Centronyx,CA-MB,579,0.000086
Chordeiles,CA-MB,2904,0.000084
Passeriformes,CA-MB,1119,0.000079
Xema,CA-MB,373,0.000073
Accipitridae,CA-MB,691,0.000068
Antrostomus,CA-MB,906,0.000007
Tetraoninae,CA-MB,11,0.000002
Fringilla,CA-MB,22,0.000001
Picidae,CA-MB,406,0.000001
Ectopistes,CA-MB,1,0.000000
Charadriidae,CA-MB,5,-0.000000
Caprimulgidae,CA-MB,1,-0.000001
Corvidae,CA-MB,1,-0.000001
Melopsittacus,CA-MB,1,-0.000002
Grus,CA-MB,89,-0.000003
Numida,CA-MB,2,-0.000003
