Bird,State,Count,Score
Vireo altiloquus,US-FL,9255,0.848316
Procellariidae sp.,US-HI,1521,0.845797
Colaptes chrysoides,US-AZ,47179,0.845238
Bolborhynchus lineola,MX-CHP,473,0.835881
Calidris tenuirostris,US-AK,144,0.835512
Cercomacroides tyrannina,MX-CHP,1275,0.835329
Grallaria guatimalensis,MX-CHP,215,0.835289
Geranoaetus albicaudatus,US-TX,54492,0.834808
Sclerurus guatemalensis,MX-CHP,96,0.833495
Eupherusa ridgwayi,MX-NAY,1153,0.827999
Pavo cristatus,US-FL,9473,0.827936
Doricha eliza,MX-YUC,3645,0.827496
Pterodroma arminjoniana,US-NC,682,0.827398
Lophornis helenae,MX-CHP,336,0.826299
Vireo brevipennis,MX-OAX,1210,0.824742
Chlidonias hybrida,US-NJ,544,0.822544
Psittacara mitratus,US-FL,5584,0.821782
Anser canagicus,US-AK,6377,0.819879
Alauda arvensis,US-HI,11496,0.819832
Galbula ruficauda,MX-CHP,1284,0.816028
Estrilda melpoda,US-HI,458,0.814368
Toxostoma cinereum,MX-BCS,4810,0.813222
Tinamus major,MX-CHP,1027,0.813147
Melanoptila glabrirostris,MX-ROO,7434,0.810431
Forpus cyanopygius,MX-NAY,325,0.808976
Pyrilia haematotis,MX-CHP,1135,0.808272
Calidris ptilocnemis,US-AK,18728,0.806562
Xenotriccus mexicanus,MX-OAX,1090,0.806211
Arremon aurantiirostris,MX-CHP,876,0.806087
Baeolophus inornatus,US-CA,64598,0.805829
Toxostoma ocellatum,MX-OAX,1061,0.805034
Crypturellus soui,MX-CHP,969,0.804200
Leiothlypis luciae,US-AZ,123067,0.799369
Cynanthus doubledayi,MX-OAX,2340,0.798805
Sclerurus mexicanus,MX-CHP,779,0.797688
Dendrocygna viduata,US-FL,173,0.797451
Lagopus sp.,US-AK,312,0.793407
Emberiza pusilla,US-AK,179,0.792513
Xiphorhynchus erythropygius,MX-CHP,992,0.791680
Trogon massena,MX-CHP,1364,0.787610
Icterus pectoralis,US-FL,9687,0.786097
Strix fulvescens,MX-CHP,654,0.785717
Larus michahellis,CA-NL,229,0.785287
Callonetta leucophrys,US-FL,293,0.784170
Cistothorus platensis,MX-DIF,1636,0.782302
Aphelocoma sp.,US-AZ,128,0.779199
Sporophila corvina,MX-CHP,1391,0.777986
Calidris temminckii,US-AK,209,0.776178
Cardellina rubrifrons,US-AZ,26069,0.771872
Psittaciformes sp. (parakeet sp.),US-FL,2392,0.771690
Scolopacidae sp.,CA-QC,1067,0.768348
Eugenes fulgens,US-AZ,59354,0.768027
Arremonops rufivirgatus,US-TX,82550,0.768003
Dendrocygna sp.,US-TX,345,0.767284
Geothlypis speciosa,MX-MEX,514,0.766836
Vireolanius pulchellus,MX-CHP,1507,0.766026
Hydrobates socorroensis,US-CA,92,0.764745
Myioborus pictus,US-AZ,72658,0.761359
Junco phaeonotus,US-AZ,70541,0.761042
Toxostoma bendirei,US-AZ,10324,0.759894
Heliothryx barroti,MX-CHP,280,0.759583
Chlorophonia occipitalis,MX-CHP,1887,0.759296
Cyrtonyx montezumae,US-AZ,13850,0.756470
Patagioenas nigrirostris,MX-CHP,1603,0.755918
Peucaea botterii,US-AZ,17398,0.754027
Pampa excellens,MX-VER,1342,0.751399
Fringilla coelebs,US-MA,116,0.751137
Motacilla alba,US-AK,4794,0.747898
Leiothlypis crissalis,US-TX,3032,0.747790
Eupherusa eximia,MX-CHP,410,0.746888
Geothlypis flavovelata,MX-TAM,239,0.746632
Botaurus pinnatus,MX-VER,1433,0.745412
Campylorhynchus jocosus,MX-OAX,2788,0.743265
Tyrannus couchii,US-TX,110055,0.743141
Hylorchilus navai,MX-CHP,531,0.738268
Polioptila melanura,US-AZ,119695,0.737917
Cyanocorax yncas,US-TX,150450,0.737328
Calidris ruficollis,US-AK,2690,0.735274
Ictinia plumbea,MX-CHP,410,0.730856
Rostrhamus sociabilis,US-FL,32354,0.730103
Corvus sinaloae,MX-NAY,10529,0.727823
Ortalis wagleri,MX-NAY,9364,0.727571
Pluvialis fulva,US-HI,54637,0.726868
Odontophorus guttatus,MX-CHP,458,0.726853
Phaethornis sp.,MX-CHP,117,0.725421
Anthus cervinus,US-AK,2161,0.724465
Glaucidium griseiceps,MX-CHP,206,0.724065
Campylorhynchus zonatus,MX-VER,15778,0.723268
Molothrus bonariensis,US-FL,2856,0.723189
Phaeoptila sordida,MX-OAX,5903,0.723016
Cynanthus latirostris,US-AZ,169527,0.721769
Phainopepla nitens,US-AZ,200508,0.721366
Artemisiospiza belli,US-CA,6672,0.720624
Leucosticte australis,US-CO,9642,0.719303
Melanerpes hypopolius,MX-OAX,3132,0.719137
Euplectes franciscanus,US-CA,1315,0.717676
Puffinus subalaris,MX-OAX,294,0.717629
Vireo nelsoni,MX-OAX,689,0.715019
Lepidocolaptes souleyetii,MX-CHP,1563,0.714047
Zentrygon albifacies,MX-CHP,1432,0.713642
Callipepla gambelii,US-AZ,281419,0.713548
Tringa glareola,US-AK,2271,0.710945
Psittacara holochlorus,US-TX,15912,0.710817
Hylomanes momotula,MX-CHP,837,0.710449
Amazona oratrix,US-TX,2312,0.708113
Anas bahamensis,US-FL,792,0.708033
Amaurospiza concolor,MX-CHP,216,0.706910
Tapera naevia,MX-CHP,655,0.706822
Euphonia gouldi,MX-CHP,1399,0.705995
Melopsittacus undulatus,US-FL,591,0.705167
Tringa stagnatilis,US-AK,162,0.703933
Vireo atricapilla,US-TX,14224,0.702049
Elanoides forficatus,US-FL,111055,0.701355
Toxostoma sp.,US-AZ,889,0.700159
Schiffornis veraepacis,MX-CHP,912,0.698100
Micrastur ruficollis,MX-CHP,1345,0.696329
Leptopogon amaurocephalus,MX-CHP,571,0.695905
Petrochelidon fulva,US-TX,72963,0.695014
Cuculus canorus,US-RI,672,0.692007
Anabacerthia variegaticeps,MX-CHP,1735,0.688028
Amazona viridigenalis,US-TX,14517,0.687859
Melanerpes aurifrons,US-TX,326325,0.685716
Clibanornis rubiginosus,MX-CHP,938,0.685390
Numenius tahitiensis,US-HI,3277,0.685119
Polioptila albiloris,MX-OAX,3134,0.684733
Spizella wortheni,MX-NLE,343,0.684190
Numida meleagris,US-FL,482,0.684168
Charadrius mongolus,US-AK,1118,0.683105
Amazilia yucatanensis,US-TX,73779,0.681057
Amazona farinosa,MX-CHP,1014,0.680624
Polioptila sp.,US-AZ,5465,0.679650
Stercorarius sp.,CA-QC,884,0.676415
Auriparus flaviceps,US-AZ,386191,0.674607
Caracara plancus,US-TX,249608,0.673197
Pseudastur albicollis,MX-CHP,1210,0.671310
Leptotila jamaicensis,MX-ROO,1840,0.670785
Cygnus atratus,US-FL,2313,0.670649
Lampornis clemenciae,US-AZ,24588,0.670257
Manacus candei,MX-CHP,795,0.670166
Sayornis sp.,US-CO,177,0.669369
Amazona finschi,US-TX,1345,0.668540
Lanius cristatus,US-CA,179,0.668290
Mareca falcata,US-AK,768,0.668275
Fratercula cirrhata,US-AK,25193,0.666097
Sicalis luteola,MX-VER,841,0.665349
Atlapetes albinucha,MX-CHP,1664,0.665115
Sporophila funerea,MX-CHP,286,0.663829
Euptilotis neoxenus,US-AZ,1168,0.663485
Psittacara sp.,US-FL,198,0.661642
Emberiza rustica,US-AK,536,0.660904
Sarcoramphus papa,MX-CHP,1488,0.660342
Anser fabalis,US-AK,94,0.660073
Ardenna tenuirostris,US-AK,9641,0.657537
Calypte costae,US-AZ,79549,0.657426
Tyrannus forficatus,US-TX,327041,0.657169
Agamia agami,MX-CHP,119,0.656171
Limosa lapponica,US-AK,7560,0.655703
Agelaius tricolor,US-CA,10914,0.655698
Nyctidromus albicollis,US-TX,31129,0.655040
Tachybaptus dominicus,US-TX,65119,0.652181
Panyptila cayennensis,MX-CHP,286,0.651681
Myiobius sulphureipygius,MX-CHP,608,0.650375
Anhinga anhinga,US-FL,553383,0.649962
Mycteria americana,US-FL,284639,0.649056
Synthliboramphus hypoleucus,US-CA,230,0.647909
Ectopistes migratorius,CA-ON,144,0.647530
Eumomota superciliosa,MX-YUC,10474,0.645782
Apodidae sp. (small swift sp.),MX-VER,84,0.644042
Lagopus muta,US-AK,7112,0.643983
Geothlypis nelsoni,MX-DIF,1806,0.641857
Piranga roseogularis,MX-ROO,1939,0.640815
Ortalis vetula,US-TX,88258,0.640492
Saucerottia cyanocephala,MX-VER,5219,0.638106
Phaethornis longirostris,MX-CHP,2219,0.638013
Pycnonotus jocosus,US-HI,8418,0.634646
Setophaga kirtlandii,US-MI,7644,0.633432
Campylorhynchus brunneicapillus,US-AZ,200611,0.632643
Catharus frantzii,MX-CHP,2036,0.627887
Brotogeris chiriri,US-FL,5026,0.627782
Grus monacha,US-TN,154,0.626638
Phylloscopus fuscatus,US-AK,162,0.626219
Micrathene whitneyi,US-AZ,13070,0.626138
Streptopelia sp.,US-CO,272,0.624416
Psarocolius montezuma,MX-VER,10546,0.624149
Piranga flava,US-AZ,50392,0.620224
Aphelocoma unicolor,MX-CHP,1186,0.618683
Synallaxis erythrothorax,MX-VER,3130,0.618554
Ramphocelus sanguinolentus,MX-CHP,1807,0.615439
Dryobates stricklandi,MX-DIF,885,0.613734
Turdus infuscatus,MX-CHP,1549,0.613641
Icterus graduacauda,US-TX,19177,0.612041
Anous stolidus,US-FL,4594,0.611759
Gymnogyps californianus,US-AZ,5524,0.608876
Aramides albiventris,MX-VER,4825,0.606804
Xenus cinereus,US-AK,434,0.606401
Melanerpes sp.,US-TX,1052,0.604625
Porphyrio martinica,US-FL,83297,0.604107
Pterodroma ultima,US-OR,589,0.603969
Caryothraustes poliogaster,MX-CHP,1525,0.603873
Parabuteo unicinctus,US-TX,80483,0.603246
Vireo pallens,MX-YUC,8657,0.603088
Pterodroma hasitata,US-NC,6000,0.599430
Ornithion semiflavum,MX-CHP,595,0.596103
Pterodroma sp.,US-HI,400,0.594984
Setophaga graciae,US-AZ,33190,0.594340
Larus schistisagus,US-AK,5994,0.593775
Crypturellus boucardi,MX-CHP,1212,0.593415
Rhodinocichla rosea,MX-NAY,1118,0.590978
Megaceryle torquata,US-TX,32247,0.589031
Icterus prosthemelas,MX-ROO,3595,0.588592
Antrostomus arizonae,US-AZ,8767,0.587523
Saltator maximus,MX-CHP,1974,0.584994
Momotus coeruliceps,MX-VER,2945,0.584195
Chloroceryle americana,US-TX,42156,0.582420
Cyanoloxia cyanoides,MX-CHP,839,0.580948
Meleagris ocellata,MX-CAM,928,0.579675
Haliaeetus pelagicus,CA-QC,144,0.578651
Celeus castaneus,MX-CHP,862,0.576849
Gallus gallus (Domestic type),US-HI,14141,0.576470
Tringa nebularia,US-AK,651,0.576218
Megascops cooperi,MX-OAX,295,0.573851
Puffinus opisthomelas,US-CA,3440,0.573223
Diomedeidae sp.,US-AK,59,0.571838
Thalasseus elegans,US-CA,14119,0.571782
Phoenicopterus ruber,MX-YUC,6151,0.571326
Sitta sp.,CA-ON,4014,0.571218
Calothorax lucifer,US-AZ,9576,0.570555
Aythya ferina,US-AK,389,0.568850
Trogon elegans,US-AZ,21761,0.566898
Synthliboramphus scrippsi,US-CA,1289,0.565455
Aphelocoma californica,US-OR,374161,0.564418
Campylopterus hemileucurus,MX-CHP,1432,0.563829
Polioptila nigriceps,US-AZ,7329,0.561660
Chamaea fasciata,US-CA,57649,0.559682
Formicarius moniliger,MX-CHP,1618,0.559547
Coereba flaveola,MX-ROO,5172,0.559417
Euphonia godmani,MX-NAY,4019,0.558100
Hylorchilus sumichrasti,MX-VER,347,0.557565
Notharchus hyperrhynchus,MX-CHP,391,0.556488
Alopochen aegyptiaca,US-FL,31981,0.556429
Eudocimus albus,US-FL,748541,0.555899
Melanerpes pygmaeus,MX-ROO,7829,0.554019
Pelagodroma marina,US-MA,1036,0.551016
Asio stygius,MX-SIN,226,0.549509
Toxostoma curvirostre,US-AZ,293199,0.546591
Cyanocorax sanblasianus,MX-JAL,4286,0.546433
Charadrius leschenaultii,US-FL,109,0.545040
Leptotila verreauxi,US-TX,83884,0.544077
Buteo brachyurus,US-FL,26260,0.540394
Progne tapera,US-NJ,62,0.540021
Quiscalus major,US-FL,540152,0.538429
Nomonyx dominicus,US-TX,774,0.537958
Myiodynastes luteiventris,US-AZ,20562,0.537896
Icterus abeillei,MX-DIF,5882,0.535935
Ceratopipra mentalis,MX-CHP,1001,0.535443
Uria lomvia,US-AK,14430,0.534666
Peucedramus taeniatus,US-AZ,17080,0.534527
Calocitta colliei,MX-NAY,8276,0.534488
Lagopus lagopus,US-AK,12408,0.533653
Laterallus ruber,MX-VER,3739,0.532112
Agapornis sp.,US-HI,92,0.529760
Falco subbuteo,US-WA,95,0.529267
Trogon collaris,MX-CHP,4054,0.529138
Fratercula arctica,US-ME,17498,0.527906
Columbina minuta,MX-VER,687,0.527572
Icterus chrysater,MX-ROO,2409,0.526243
Toxostoma crissale,US-AZ,34226,0.524879
Aramides axillaris,MX-NAY,747,0.524559
Phoebastria albatrus,US-AK,478,0.523928
Alcedinidae sp.,US-TX,412,0.522354
Thraupis abbas,MX-VER,13398,0.520062
Acanthis sp.,US-AK,1141,0.519699
Falco femoralis,US-TX,9109,0.519122
Hydrobates melania,US-CA,2162,0.517993
Zenaida aurita,MX-YUC,1170,0.517324
Harpagus bidentatus,MX-CHP,366,0.516393
Leucolia viridifrons,MX-OAX,680,0.514345
Cyanolyca mirabilis,MX-OAX,133,0.514306
Pitangus sulphuratus,US-TX,187667,0.513166
Antrostomus badius,MX-YUC,357,0.513115
Icterus auratus,MX-YUC,5756,0.513101
Aulacorhynchus prasinus,MX-CHP,2863,0.512813
Leucolia violiceps,US-AZ,23458,0.512628
Xiphocolaptes promeropirhynchus,MX-OAX,299,0.510789
Anser indicus,US-VA,152,0.510717
Corvus imparatus,US-TX,1562,0.510329
Passer montanus,US-MO,26402,0.509307
Cathartes sp.,MX-YUC,441,0.509122
Amazilia tzacatl,MX-CHP,3563,0.508957
Pulsatrix perspicillata,MX-CHP,52,0.508517
Ardea cinerea,CA-NS,97,0.507795
Diglossa baritula,MX-DIF,5831,0.506157
Fringilla montifringilla,US-AK,2344,0.505535
Amphispiza bilineata,US-AZ,137441,0.505094
