Bird,State,Count,Score
Cygnus,CA-YT,13103,0.015729
Setophaga,US-VT,346101,0.015714
Ardea,US-MS,83150,0.015712
Callipepla,US-NV,49041,0.015705
Hirundo,MX-MEX,5451,0.015650
Tyrannus,MX-CAM,5094,0.015645
Thryomanes,MX-MEX,4113,0.015641
Passer,MX-DIF,16916,0.015576
Aythya,CA-AB,155041,0.015535
Sula,US-HI,22649,0.015492
Cardinalis,US-TN,331627,0.015478
Passerina,MX-MIC,3699,0.015463
Thraupis,MX-VER,23419,0.015434
Baeolophus,US-AR,93388,0.015425
Tyrannus,US-OK,70179,0.015410
Thryothorus,US-DC,41998,0.015398
Columbina,MX-TAM,2894,0.015356
Psilorhinus,MX-TAB,2052,0.015343
Larus,CA-YT,26341,0.015208
Pitangus,MX-MOR,2630,0.015206
Melanerpes,US-MO,275131,0.015192
Tyrannus,MX-NLE,6732,0.015182
Leiothlypis,CA-NT,4532,0.015160
Buteo,US-ID,135819,0.015152
Poecile,US-MN,448373,0.015150
Larus,CA-BC,710123,0.015143
Zenaida,US-TX,1669430,0.015126
Poecile,CA-NL,47433,0.015103
Pyrocephalus,MX-DUR,1944,0.015088
Larus,US-NJ,759061,0.015046
Mimus,US-FL,833895,0.015023
Calidris,US-DE,101378,0.015014
Thryothorus,US-WV,67983,0.015007
Aythya,US-ND,48347,0.014978
Cyanocitta,US-VT,239918,0.014964
Melanerpes,US-GA,377667,0.014956
Fregata,MX-ROO,13511,0.014955
Dryobates,US-NH,182017,0.014926
Anhinga,US-FL,553383,0.014914
Melanerpes,MX-AGU,1525,0.014887
Cardinalis,US-SC,309495,0.014875
Empidonax,MX-DIF,12024,0.014875
Poecile,CA-NS,154595,0.014864
Sayornis,MX-DUR,2838,0.014856
Pitangus,MX-TAM,2669,0.014841
Coragyps,MX-MOR,3080,0.014837
Dives,MX-ROO,13206,0.014782
Icterus,MX-PUE,1920,0.014777
Mimus,US-GA,288903,0.014764
Cynanthus,MX-MEX,3553,0.014753
Myiozetetes,MX-MOR,2502,0.014733
Baeolophus,US-WV,71638,0.014729
Gavia,CA-YT,12647,0.014718
Cathartes,MX-BCS,15313,0.014706
Calypte,US-CA,176961,0.014687
Sturnella,US-NE,52365,0.014658
Cardinalis,US-MO,328095,0.014653
Pandion,US-FL,678520,0.014630
Sayornis,US-CA,239921,0.014629
Ptiliogonys,MX-DIF,8935,0.014629
Larus,CA-ON,1330492,0.014622
Icterus,MX-QUE,1633,0.014591
Bubulcus,MX-TLA,203,0.014573
Pitangus,MX-YUC,13860,0.014499
Quiscalus,US-FL,1009671,0.014485
Ptiliogonys,MX-TLA,187,0.014474
Thryomanes,MX-AGU,813,0.014469
Icterus,MX-CHP,18805,0.014465
Egretta,MX-GRO,2253,0.014434
Calidris,CA-NB,34968,0.014424
Larus,MX-BCS,20897,0.014423
Psilorhinus,MX-CAM,3386,0.014397
Streptopelia,US-WY,35925,0.014345
Fregata,MX-NAY,15661,0.014341
Columbina,MX-SLP,1007,0.014326
Acanthis,CA-YT,10748,0.014319
Quiscalus,MX-YUC,26346,0.014313
Cynanthus,MX-PUE,1357,0.014298
Catherpes,MX-MIC,2598,0.014280
Columbina,MX-DUR,1923,0.014279
Dives,MX-YUC,13310,0.014271
Junco,US-NM,190879,0.014266
Pitangus,MX-GRO,1642,0.014259
Icterus,MX-DIF,12294,0.014251
Larus,US-NY,1430945,0.014211
Anthus,CA-NU,2410,0.014196
Mimus,US-SC,191263,0.014191
Cardinalis,US-VA,728016,0.014178
Poecile,CA-QC,1087392,0.014166
Haemorhous,MX-HID,1319,0.014163
Passer,MX-COA,2066,0.014160
Fulica,US-NV,53207,0.014126
Spatula,CA-AB,133449,0.014106
Amazilia,MX-COL,2451,0.014102
Coragyps,MX-GRO,1964,0.014096
Poecile,CA-NB,60285,0.014095
Egretta,MX-BCN,13220,0.014092
Leiothlypis,MX-DIF,11462,0.014086
Melospiza,CA-NB,54604,0.014056
Baeolophus,US-KY,105736,0.014046
Egretta,MX-SON,10411,0.014042
Columbina,MX-NLE,4817,0.014011
Mimus,US-TN,199634,0.013960
Pelecanus,MX-BCN,11293,0.013959
Cassiculus,MX-COL,2398,0.013956
Cardinalis,US-NC,535006,0.013945
Toxostoma,MX-AGU,904,0.013940
Turdus,US-DC,62170,0.013913
Padda,US-HI,20197,0.013871
Baeolophus,US-SC,212440,0.013868
Acanthis,US-AK,69532,0.013861
Hirundo,MX-MOR,3587,0.013854
Mimus,MX-YUC,20945,0.013852
Dryobates,US-VT,240266,0.013844
Tyrannus,MX-QUE,1587,0.013833
Thryothorus,US-KY,98073,0.013809
Pitangus,MX-SLP,923,0.013803
Sporophila,MX-TAB,1848,0.013778
Melanerpes,US-AR,101947,0.013771
Spizella,MX-DUR,3086,0.013759
Psilorhinus,MX-VER,20858,0.013737
Passer,US-DC,42950,0.013733
Melanerpes,US-AL,127153,0.013700
Pitangus,MX-VER,21371,0.013689
Icterus,MX-VER,29663,0.013686
Pipilo,US-GA,264143,0.013673
Crithagra,US-HI,19880,0.013653
Anas,CA-NT,8500,0.013642
Polioptila,MX-YUC,16977,0.013636
Campylorhynchus,MX-AGU,704,0.013626
Colaptes,US-CO,443193,0.013611
Setophaga,CA-NL,59369,0.013605
Crotophaga,MX-YUC,12721,0.013585
Sayornis,MX-AGU,1078,0.013583
Sporophila,MX-MIC,2426,0.013563
Cassiculus,MX-NAY,14557,0.013527
