Bird,State,Count,Score
Camptostoma,US-AZ,21951,0.363619
Aimophila,US-AZ,58055,0.363489
Henicorhina,MX-VER,5586,0.361970
Chamaea,US-OR,38911,0.360502
Henicorhina,MX-CHP,5522,0.358624
Tilmatura,MX-CHP,391,0.358088
Spizaetus,MX-CHP,1080,0.355975
Cochlearius,MX-NAY,2000,0.355328
Dendrocolaptes,MX-ROO,606,0.355021
Platalea,US-FL,151970,0.353284
Tiaris,MX-ROO,4980,0.351633
Leptodon,MX-CHP,253,0.350591
Heliornis,MX-CHP,253,0.349615
Vidua,US-TX,129,0.348785
Dendrocincla,MX-ROO,1665,0.346434
Chloris,US-AK,37,0.345787
Rhodinocichla,MX-JAL,653,0.344888
Ramphocaenus,MX-ROO,1533,0.341026
Brachyramphus,US-AK,32064,0.338510
Streptoprocne,MX-CHP,4433,0.336806
Xenotriccus,MX-CHP,688,0.336299
Geococcyx,US-AZ,113984,0.335601
Egretta,US-FL,1584817,0.335540
Sula,US-HI,22649,0.334823
Campephilus,MX-NAY,4341,0.333203
Nyctibius,MX-NAY,1271,0.331226
Hylorchilus,MX-VER,446,0.331221
Platalea,US-TX,146455,0.327166
Campylopterus,MX-VER,826,0.323856
Tolmomyias,MX-CHP,3959,0.322801
Uropsila,MX-YUC,2763,0.321905
Numida,US-FL,931,0.321218
Crax,MX-CAM,601,0.320893
Anous,US-FL,5075,0.320126
Catherpes,US-AZ,88455,0.319072
Bubulcus,US-FL,314435,0.318939
Megarynchus,MX-VER,10933,0.316454
Thalasseus,US-FL,312301,0.315457
Calonectris,US-MA,16342,0.314884
Lanio,MX-VER,196,0.313508
Jabiru,MX-CAM,165,0.313362
Vidua,US-CA,103,0.313110
Chondrohierax,MX-VER,2276,0.312777
Streptoprocne,MX-VER,4117,0.311880
Rhynchocyclus,MX-ROO,916,0.311709
Notharchus,MX-ROO,219,0.311171
Lamprolaima,MX-OAX,539,0.310544
Heliornis,MX-TAM,223,0.309049
Herpetotheres,MX-VER,4774,0.308540
Thamnophilus,MX-CHP,3555,0.307956
Penelope,MX-CHP,1202,0.307157
Lepidocolaptes,MX-CHP,3973,0.304146
Elanus,US-CA,40693,0.303620
Synthliboramphus,US-AK,6852,0.302901
Thryophilus,MX-NAY,8364,0.301534
Ramphastos,MX-CHP,4449,0.301290
